date,time,connection,download,dayOfWeek
2019-08-24,16:30:58,0.4836,57.3145,6
2019-08-24,17:00:50,0.4992,48.8437,6
2019-08-24,17:30:50,0.4836,49.0777,6
2019-08-24,18:01:08,0.468,66.9085,6
2019-08-24,18:30:55,0.468,53.8201,6
2019-08-24,19:00:46,0.4836,45.4585,6
2019-08-24,19:30:58,0.4836,57.1585,6
2019-08-24,20:02:36,0.4836,154.6119,6
2019-08-24,20:31:11,0.4524,70.2625,6
2019-08-24,21:00:57,0.468,55.6141,6
2019-08-24,21:31:12,0.4524,71.3389,6
2019-08-24,22:02:06,3.4788,121.4618,6
2019-08-24,22:32:17,1.4664,135.377,6
2019-08-24,23:02:03,0.4836,122.2886,6
2019-08-24,23:31:30,0.5304,88.9202,6
2019-08-25,00:01:36,0.5304,94.8326,7
2019-08-25,00:31:10,0.4836,68.8273,7
2019-08-25,01:01:18,0.4524,76.8613,7
2019-08-25,01:32:33,0.4836,152.3967,7
2019-08-25,02:00:49,0.4524,47.4709,7
2019-08-25,02:30:49,0.4992,47.4553,7
2019-08-25,03:00:47,0.4524,45.9421,7
2019-08-25,03:30:47,0.4524,46.3945,7
2019-08-25,04:01:10,0.468,68.6713,7
2019-08-25,04:30:46,0.5772,44.8969,7
2019-08-25,05:00:48,0.4524,47.1433,7
2019-08-25,05:30:50,0.858,46.4257,7
2019-08-25,06:00:47,0.4212,46.4101,7
2019-08-25,06:30:48,0.4524,47.4241,7
2019-08-25,07:00:52,0.4524,51.3241,7
2019-08-25,07:30:56,0.4524,54.4753,7
2019-08-25,08:00:52,0.5304,50.4817,7
2019-08-25,08:30:50,0.4836,49.0933,7
2019-08-25,09:00:54,0.468,53.4301,7
2019-08-25,09:31:22,0.468,81.0733,7
2019-08-25,10:00:55,0.468,53.5393,7
2019-08-25,10:31:21,3.4632,77.0017,7
2019-08-25,11:01:25,1.4352,83.0857,7
2019-08-25,11:30:59,0.468,57.8761,7
2019-08-25,12:01:06,0.468,65.0209,7
2019-08-25,12:31:06,0.4836,65.0677,7
2019-08-25,13:00:46,0.4524,44.6317,7
2019-08-25,13:30:51,0.5304,49.2493,7
