date,time,connection,upload,dayOfWeek
2019-09-03,18:07:12,0.4836,430.8728,2
2019-09-03,18:36:49,1.4664,407.5507,2
2019-09-03,19:06:56,0.4368,414.7267,2
2019-09-04,13:38:24,0.4836,502.5705,3
2019-09-04,14:09:32,0.4992,571.2574,3
2019-09-04,15:08:01,0.4524,480.0128,3
2019-09-04,15:37:52,0.468,470.5904,3
2019-09-04,16:07:54,0.5148,472.9304,3
2019-09-04,16:38:39,0.468,518.1861,3
2019-09-04,17:07:22,0.4836,440.654,3
2019-09-04,17:38:50,3.1824,526.0017,3
2019-09-04,18:07:13,0.4524,431.7308,3
2019-09-04,18:36:47,0.546,406.0531,3
2019-09-04,19:06:49,0.468,408.0031,3
