date,time,connection,download,dayOfWeek
2019-08-14,07:00:48,0.468,46.8469,3
2019-08-15,00:00:59,0.4524,58.5781,4
2019-08-15,00:31:09,2.418,66.2221,4
2019-08-15,01:00:59,0.4836,58.2817,4
2019-08-15,01:30:53,0.546,52.0573,4
2019-08-15,02:00:54,1.4352,52.4941,4
2019-08-15,02:31:21,3.4944,77.4385,4
2019-08-15,03:00:59,0.4524,58.4377,4
2019-08-15,03:30:49,0.468,48.4381,4
2019-08-15,04:01:00,0.4368,58.6717,4
2019-08-15,04:30:51,0.7644,46.3321,4
2019-08-15,05:00:48,0.4836,46.9717,4
2019-08-15,05:30:48,0.4368,47.5645,4
2019-08-15,06:00:57,0.4212,56.2069,4
2019-08-15,06:30:53,0.4368,51.9169,4
2019-08-15,07:00:50,0.4212,48.9841,4
2019-08-16,00:02:02,1.4664,120.1202,5
2019-08-16,00:30:54,0.4368,53.1337,5
2019-08-16,01:00:58,0.4524,57.0181,5
2019-08-16,01:31:03,0.4836,62.5249,5
2019-08-16,02:00:56,0.4524,55.6141,5
2019-08-16,02:30:52,0.4836,50.5909,5
2019-08-16,03:01:34,0.4212,93.5378,5
2019-08-16,03:30:45,0.4524,44.1793,5
2019-08-16,04:00:53,0.4368,52.1665,5
2019-08-16,04:30:47,0.468,46.5193,5
2019-08-16,05:00:51,0.4368,49.7173,5
2019-08-16,05:30:53,0.7176,50.4505,5
2019-08-16,06:00:47,0.4368,46.0357,5
2019-08-16,06:30:48,0.4524,46.8157,5
2019-08-16,07:01:26,0.4524,84.8953,5
2019-08-19,00:01:09,0.468,68.3125,1
2019-08-19,00:31:03,0.4524,62.4781,1
2019-08-19,01:00:49,0.4212,48.3913,1
2019-08-19,01:30:53,0.4524,51.9169,1
2019-08-19,02:00:52,0.4212,50.7157,1
2019-08-19,02:30:54,3.4788,50.3257,1
2019-08-19,03:00:45,0.4836,44.0545,1
2019-08-19,03:30:48,0.5148,47.1745,1
2019-08-19,04:01:06,0.4368,65.5513,1
2019-08-19,04:30:49,0.4524,48.3133,1
2019-08-19,05:01:01,0.4368,60.3877,1
2019-08-19,05:30:47,0.78,43.8985,1
2019-08-19,06:00:45,0.4368,43.9141,1
2019-08-19,06:30:52,0.4368,50.6845,1
2019-08-19,07:00:54,0.4524,52.6657,1
2019-08-20,00:01:03,1.1076,61.7293,2
2019-08-20,00:30:54,0.6708,53.1025,2
2019-08-20,01:00:46,0.7332,44.9125,2
2019-08-20,01:30:53,0.7176,51.8701,2
2019-08-20,02:00:47,0.6396,46.2697,2
2019-08-20,02:30:55,1.248,53.3989,2
2019-08-20,03:00:45,0.858,43.9921,2
2019-08-20,03:30:52,0.6396,51.0589,2
2019-08-20,04:01:31,0.9828,89.7314,2
2019-08-20,04:30:49,1.0608,45.3961,2
2019-08-20,05:01:37,4.1808,92.1338,2
2019-08-20,05:30:47,0.702,46.3477,2
2019-08-20,06:00:48,0.5304,47.2993,2
2019-08-20,06:30:48,0.7956,46.4881,2
2019-08-20,07:00:52,0.6396,50.9341,2
2019-08-21,00:01:01,0.468,60.4345,3
2019-08-21,00:30:48,0.468,47.0809,3
2019-08-21,01:00:46,0.4836,44.7097,3
2019-08-21,01:31:08,0.4524,66.8773,3
2019-08-21,02:00:47,0.4368,45.8953,3
2019-08-21,02:30:56,0.4524,54.6781,3
2019-08-21,03:00:54,5.4912,48.3757,3
2019-08-21,03:31:13,0.4524,72.5869,3
2019-08-21,04:00:50,0.4212,49.5613,3
2019-08-21,04:30:51,0.4368,49.6393,3
2019-08-21,05:00:46,0.4212,44.7097,3
2019-08-21,05:30:47,0.7644,43.7737,3
2019-08-21,06:00:50,0.468,48.9373,3
2019-08-21,06:30:59,0.4836,57.8293,3
2019-08-21,07:00:48,0.4524,46.9093,3
2019-08-26,00:01:12,0.4524,70.7929,1
2019-08-26,00:30:46,0.468,45.4429,1
2019-08-26,01:01:19,3.6036,68.4061,1
2019-08-26,01:31:03,0.4524,61.4485,1
2019-08-26,02:00:49,0.468,47.7517,1
2019-08-26,02:30:49,0.4524,47.7361,1
2019-08-26,03:01:23,0.4368,81.9001,1
2019-08-26,03:30:47,0.468,46.3633,1
2019-08-26,04:00:45,0.4368,44.4913,1
2019-08-26,04:30:49,0.9048,44.8657,1
2019-08-26,05:01:54,1.4352,111.8522,1
2019-08-26,05:30:49,0.4992,47.4865,1
2019-08-26,06:02:44,0.4368,162.5367,1
2019-08-26,06:30:47,0.4836,46.0825,1
2019-08-26,07:00:47,0.4524,45.5989,1
2019-08-27,00:00:54,0.468,52.7905,2
2019-08-27,00:31:08,0.4836,65.2393,2
2019-08-27,01:00:59,0.4524,57.7045,2
2019-08-27,01:30:49,0.702,47.8609,2
2019-08-27,02:01:01,3.432,56.7373,2
2019-08-27,02:30:50,0.468,48.9841,2
2019-08-27,03:00:45,0.5148,44.2417,2
2019-08-27,03:30:46,0.4992,44.6161,2
2019-08-27,04:00:45,0.4524,44.1169,2
2019-08-27,04:30:48,0.4836,46.6441,2
2019-08-27,05:00:54,0.4992,52.6657,2
2019-08-27,05:30:51,0.78,47.7049,2
2019-08-27,06:00:46,0.4368,44.8033,2
2019-08-27,06:30:58,0.4836,56.9713,2
2019-08-27,07:00:48,0.468,46.8157,2
2019-09-02,00:00:49,0.468,48.3913,1
2019-09-02,00:31:02,0.4836,60.5749,1
2019-09-02,01:01:02,0.4992,55.0681,1
2019-09-02,01:30:48,0.468,46.6909,1
2019-09-02,02:00:50,0.4524,49.3585,1
2019-09-02,02:31:00,0.468,58.7029,1
2019-09-02,03:00:54,0.4836,52.8997,1
2019-09-02,03:30:47,0.4524,46.2853,1
2019-09-02,04:00:48,0.4524,47.3617,1
2019-09-02,04:30:46,0.4992,44.6941,1
