date,time,connection,download
2019-08-15,22:31:35,0.4680,94.4738
2019-08-15,23:01:04,0.4524,62.6341
2019-08-15,23:30:52,0.4680,50.9341
2019-08-16,00:02:02,1.4664,120.1202
2019-08-16,00:30:54,0.4368,53.1337
2019-08-16,01:00:58,0.4524,57.0181
2019-08-16,01:31:03,0.4836,62.5249
2019-08-16,02:00:56,0.4524,55.6141
2019-08-16,02:30:52,0.4836,50.5909
2019-08-16,03:01:34,0.4212,93.5378
2019-08-16,03:30:45,0.4524,44.1793
2019-08-16,04:00:53,0.4368,52.1665
2019-08-16,04:30:47,0.4680,46.5193
2019-08-16,05:00:51,0.4368,49.7173
2019-08-16,05:30:53,0.7176,50.4505
2019-08-16,06:00:47,0.4368,46.0357
2019-08-16,06:30:48,0.4524,46.8157
2019-08-16,07:01:26,0.4524,84.8953
2019-08-16,07:30:55,0.4368,53.6329
2019-08-16,08:01:02,0.4212,61.3393
2019-08-16,08:30:57,0.6864,56.1133
2019-08-16,09:02:18,0.4680,137.1710
2019-08-16,09:31:40,0.4680,99.3098
2019-08-16,10:02:31,0.4836,149.5731
2019-08-16,10:31:08,6.4584,61.0741
2019-08-16,11:01:20,0.4524,78.9673
2019-08-16,11:32:10,0.4212,128.9030
2019-08-16,12:00:47,0.4524,46.1293
2019-08-16,12:30:55,0.4680,54.3349
2019-08-16,13:01:06,0.4836,64.6621
2019-08-16,13:31:09,0.4680,67.8445
2019-08-16,14:01:39,0.5772,97.6250
2019-08-16,14:31:15,0.5772,73.9753
2019-08-16,15:02:44,0.4680,163.4883
2019-08-16,15:31:21,0.4836,79.7941
2019-08-16,16:02:29,0.4368,147.8571
2019-08-16,16:32:03,0.4836,122.3822
2019-08-16,17:02:09,0.4680,128.4974
2019-08-16,17:30:53,0.4524,52.4941
2019-08-16,18:00:54,3.2760,50.5129
2019-08-16,18:31:04,0.4680,63.3517
2019-08-16,19:00:52,0.4524,51.2305
2019-08-16,19:30:46,0.4680,44.6629
2019-08-16,20:00:51,0.4836,50.2789
2019-08-16,20:30:49,0.4524,47.6425
2019-08-16,21:00:59,0.4368,57.8137
2019-08-16,21:30:55,0.4524,54.5689
2019-08-16,22:02:48,4.4460,163.0203
2019-08-16,22:31:48,0.4524,107.4842
2019-08-16,23:01:49,0.4368,108.5762
2019-08-16,23:31:11,0.4680,69.9349
2019-08-17,00:01:04,0.4524,63.4921
2019-08-17,00:30:48,0.4368,46.6909
2019-08-17,01:00:55,0.4836,53.6017
2019-08-17,01:30:46,0.4524,45.5365
2019-08-17,02:01:15,1.4508,73.5073
2019-08-17,02:30:50,0.4524,49.4365
2019-08-17,03:01:04,0.4368,63.2113
2019-08-17,03:30:51,0.4368,49.7485
2019-08-17,04:00:54,0.4524,53.3209
2019-08-17,04:30:48,0.4212,47.2213
2019-08-17,05:00:53,0.6552,50.0293
2019-08-17,05:31:05,0.4680,63.9289
2019-08-17,06:00:57,0.4524,55.8013
2019-08-17,06:30:49,0.4680,47.7829
2019-08-17,07:00:49,0.4524,47.6581
2019-08-17,07:31:02,0.4680,61.1521
2019-08-17,08:00:56,0.4680,54.7561
2019-08-17,08:30:48,0.4524,47.4085
2019-08-17,09:01:53,3.4476,108.9038
