date,time,connection,upload,dayOfWeek
2019-08-14,06:36:33,0.546,392.4031,3
2019-08-14,07:06:49,0.468,407.9095,3
2019-08-15,00:07:00,0.4524,419.4847,4
2019-08-15,00:36:37,2.418,394.7119,4
2019-08-15,01:06:57,0.4836,416.1463,4
2019-08-15,01:36:33,0.546,392.0599,4
2019-08-15,02:06:56,1.4352,414.1495,4
2019-08-15,02:36:57,3.4944,413.1823,4
2019-08-15,03:06:51,0.4524,409.7035,4
2019-08-15,03:36:17,0.468,376.6003,4
2019-08-15,04:06:52,0.4368,410.8891,4
2019-08-15,04:36:29,0.7644,384.8215,4
2019-08-15,05:06:45,0.4836,403.5727,4
2019-08-15,05:36:11,0.4368,370.0014,4
2019-08-15,06:06:53,0.4212,412.5583,4
2019-08-15,06:37:03,0.4368,421.6219,4
2019-08-15,07:06:56,0.4212,414.9607,4
2019-08-16,00:07:56,1.4664,473.9756,5
2019-08-16,00:36:36,0.4368,394.8991,5
2019-08-16,01:06:57,0.4524,415.9279,5
2019-08-16,01:36:49,0.4836,407.5351,5
2019-08-16,02:07:11,0.4524,430.4204,5
2019-08-16,02:36:33,0.4836,391.6543,5
2019-08-16,03:07:33,0.4212,452.4788,5
2019-08-16,03:36:26,0.4524,384.7123,5
2019-08-16,04:06:44,0.4368,402.6679,5
2019-08-16,04:36:36,0.468,395.4763,5
2019-08-16,05:06:45,0.4368,404.6023,5
2019-08-16,05:36:36,0.7176,393.0739,5
2019-08-16,06:06:43,0.4368,402.6055,5
2019-08-16,06:36:28,0.4524,386.7871,5
2019-08-16,07:07:19,0.4524,437.6276,5
2019-08-19,00:07:04,0.468,423.5251,1
2019-08-19,00:36:40,0.4524,398.8615,1
2019-08-19,01:06:42,0.4212,400.8427,1
2019-08-19,01:36:33,0.4524,392.1067,1
2019-08-19,02:06:38,0.4212,397.0519,1
2019-08-19,02:36:30,3.4788,385.6951,1
2019-08-19,03:06:40,0.4836,399.0331,1
2019-08-19,03:36:29,0.5148,387.5983,1
2019-08-19,04:06:57,0.4368,416.0215,1
2019-08-19,04:36:23,0.4524,382.2787,1
2019-08-19,05:06:50,0.4368,408.7675,1
2019-08-19,05:36:28,0.78,384.9463,1
2019-08-19,06:06:40,0.4368,398.9239,1
2019-08-19,06:36:33,0.4368,392.1691,1
2019-08-19,07:07:08,0.4524,427.4876,1
2019-08-20,00:06:50,1.1076,408.4711,2
2019-08-20,00:36:27,0.6708,386.2411,2
2019-08-20,01:06:29,0.7332,387.4267,2
2019-08-20,01:36:34,0.7176,392.5279,2
2019-08-20,02:06:40,0.6396,398.4091,2
2019-08-20,02:36:23,1.248,381.3427,2
2019-08-20,03:06:36,0.858,395.1175,2
2019-08-20,03:36:30,0.6396,389.3143,2
2019-08-20,04:07:21,0.9828,439.406,2
2019-08-20,04:36:26,1.0608,382.4503,2
2019-08-20,05:07:22,4.1808,437.3312,2
2019-08-20,05:36:28,0.702,387.1615,2
2019-08-20,06:06:46,0.5304,405.1483,2
2019-08-20,06:36:34,0.7956,393.0427,2
2019-08-20,07:06:52,0.6396,411.4039,2
2019-08-21,00:06:53,0.468,412.3555,3
2019-08-21,00:36:22,0.468,380.7655,3
2019-08-21,01:06:34,0.4836,392.9023,3
2019-08-21,01:36:46,0.4524,405.4447,3
2019-08-21,02:06:39,0.4368,398.5027,3
2019-08-21,02:36:31,0.4524,390.1255,3
2019-08-21,03:06:40,5.4912,394.1347,3
2019-08-21,03:36:46,0.4524,404.8675,3
2019-08-21,04:06:46,0.4212,404.7427,3
2019-08-21,04:36:33,0.4368,391.8727,3
2019-08-21,05:06:41,0.4212,400.0627,3
2019-08-21,05:36:18,0.7644,374.5099,3
2019-08-21,06:06:50,0.468,409.5943,3
2019-08-21,06:36:41,0.4836,399.6415,3
2019-08-21,07:06:47,0.4524,406.6771,3
2019-08-26,00:07:10,0.4524,429.5156,1
2019-08-26,00:36:22,0.468,380.9527,1
2019-08-26,01:07:09,3.6036,418.7671,1
2019-08-26,01:36:40,0.4524,399.2515,1
2019-08-26,02:06:40,0.468,398.7211,1
2019-08-26,02:36:18,0.4524,376.7251,1
2019-08-26,03:07:25,0.4368,444.32,1
2019-08-26,03:36:08,0.468,366.9594,1
2019-08-26,04:06:36,0.4368,395.0239,1
2019-08-26,04:36:29,0.9048,384.9463,1
2019-08-26,05:07:50,1.4352,468.0164,1
2019-08-26,05:36:25,0.4992,384.2755,1
2019-08-26,06:16:59,0.4368,1017.9174,1
2019-08-26,06:36:37,0.4836,396.1315,1
2019-08-26,07:06:42,0.4524,401.0923,1
2019-08-27,00:06:54,0.468,413.3227,2
2019-08-27,00:36:35,0.4836,392.9023,2
2019-08-27,01:06:54,0.4524,413.2759,2
2019-08-27,01:36:30,0.702,388.8775,2
2019-08-27,02:06:50,3.432,405.6475,2
2019-08-27,02:36:25,0.468,383.8387,2
2019-08-27,03:06:27,0.5148,386.2879,2
2019-08-27,03:36:31,0.4992,389.5483,2
2019-08-27,04:06:37,0.4524,395.6167,2
2019-08-27,04:36:23,0.4836,382.0603,2
2019-08-27,05:06:51,0.4992,409.7503,2
2019-08-27,05:36:23,0.78,379.3615,2
2019-08-27,06:06:31,0.4368,390.4999,2
2019-08-27,06:36:30,0.4836,389.3767,2
2019-08-27,07:06:48,0.468,407.1607,2
2019-09-02,00:06:42,0.468,400.9363,1
2019-09-02,00:36:49,0.4836,407.6755,1
2019-09-02,01:06:48,0.4992,400.7491,1
2019-09-02,01:36:27,0.468,385.4767,1
2019-09-02,02:06:36,0.4524,395.3047,1
2019-09-02,02:36:37,0.468,395.6479,1
2019-09-02,03:06:41,0.4836,400.4215,1
2019-09-02,03:36:25,0.4524,383.7607,1
2019-09-02,04:06:41,0.4524,400.0783,1
2019-09-02,04:36:12,0.4992,371.1247,1
2019-09-02,05:06:48,0.8736,403.7443,1
2019-09-02,05:36:27,0.4368,386.0539,1
2019-09-02,06:06:38,0.4212,397.0987,1
2019-09-02,06:36:58,4.4772,412.5583,1
2019-09-02,07:06:34,0.4836,392.6059,1
2019-09-03,00:06:45,0.468,404.1343,2
2019-09-03,00:36:43,0.4524,402.3247,2
2019-09-03,01:06:33,0.4992,391.8415,2
2019-09-03,01:36:19,0.4524,378.3475,2
2019-09-03,02:06:36,0.4524,395.1331,2
2019-09-03,02:36:25,0.468,384.0103,2
2019-09-03,03:06:34,0.4524,392.9959,2
2019-09-03,03:36:23,0.468,381.8107,2
2019-09-03,04:06:32,0.4368,390.7339,2
2019-09-03,04:36:31,0.8424,386.2411,2
2019-09-03,05:06:41,0.4992,400.2967,2
2019-09-03,05:36:28,0.4992,386.6311,2
2019-09-03,06:06:49,0.468,408.3931,2
2019-09-03,06:36:28,0.468,387.1459,2
2019-09-03,07:06:55,0.468,414.1495,2
2019-09-04,00:06:52,0.5304,410.7175,3
2019-09-04,00:36:31,0.468,388.8619,3
2019-09-04,01:06:35,0.4836,393.6355,3
2019-09-04,01:36:49,0.468,407.5507,3
2019-09-04,02:06:38,0.4212,397.4575,3
2019-09-04,02:37:00,5.46,413.9779,3
2019-09-04,03:06:45,5.4444,399.0799,3
2019-09-04,03:36:26,0.468,385.0867,3
2019-09-04,04:06:37,0.4524,395.7259,3
2019-09-04,04:36:40,0.5148,398.5183,3
2019-09-04,05:06:41,3.744,393.9943,3
2019-09-04,05:36:35,0.4524,394.2907,3
2019-09-04,06:06:48,0.4524,406.8799,3
2019-09-04,06:36:41,0.4836,399.6727,3
2019-09-04,07:06:46,0.4524,405.3355,3
2019-09-05,00:07:02,0.4836,420.7171,4
2019-09-05,00:36:30,0.546,388.5187,4
2019-09-05,01:06:46,0.4524,405.4603,4
2019-09-05,01:36:09,0.4368,368.0826,4
2019-09-05,02:07:02,0.4524,420.7951,4
2019-09-05,02:36:54,1.482,412.1995,4
2019-09-05,03:06:39,0.4524,398.1751,4
2019-09-05,03:36:31,0.5772,390.3751,4
2019-09-05,04:06:54,5.46,407.6287,4
2019-09-05,04:36:44,2.9952,400.4995,4
2019-09-05,05:06:41,0.8424,397.3639,4
2019-09-05,05:36:28,0.4524,387.5359,4
2019-09-05,06:07:04,2.7456,420.4675,4
2019-09-05,06:36:47,0.468,406.0219,4
2019-09-05,07:06:52,0.4836,411.5443,4
